"","HZ","low_bin","high_bin","date","chips","expert","institution","last.in.field","experience.ide","p","chips.all.experts","p.all.experts","expert.date"
"1","BENI",0,2,"15-11-2019",0,"4","WHO","never",">5 years",0,46,0.23,"expert 4 15-11-2019"
"2","BENI",0,2,"14-11-2019",0,"10","WHO","<2 weeks ago","<5 years",0,46,0.23,"expert 10 14-11-2019"
"3","BENI",0,2,"11-11-2019",10,"1","LSHTM","<2 weeks ago",">5 years",0.5,46,0.23,"expert 1 11-11-2019"
"4","BENI",0,2,"20-11-2019",14,"6","MoH","<2 weeks ago",">5 years",0.7,46,0.23,"expert 6 20-11-2019"
"5","BENI",0,2,"22-11-2019",6,"7","LSHTM","<2 weeks ago","<5 years",0.3,46,0.23,"expert 7 22-11-2019"
"6","BENI",0,2,"12-11-2019",1,"2","WHO","<2 weeks ago",">5 years",0.05,46,0.23,"expert 2 12-11-2019"
"7","BENI",0,2,"22-11-2019",0,"8","MSF",">2 weeks ago",">5 years",0,46,0.23,"expert 8 22-11-2019"
"8","BENI",0,2,"15-11-2019",5,"3","WHO",">2 weeks ago",">5 years",0.25,46,0.23,"expert 3 15-11-2019"
"9","BENI",0,2,"15-11-2019",0,"5","WHO","<2 weeks ago","<5 years",0,46,0.23,"expert 5 15-11-2019"
"10","BENI",0,2,"22-11-2019",10,"9","MSF",">2 weeks ago",">5 years",0.5,46,0.23,"expert 9 22-11-2019"
"11","BENI",10,12,"15-11-2019",0,"5","WHO","<2 weeks ago","<5 years",0,9,0.045,"expert 5 15-11-2019"
"12","BENI",10,12,"12-11-2019",1,"2","WHO","<2 weeks ago",">5 years",0.05,9,0.045,"expert 2 12-11-2019"
"13","BENI",10,12,"22-11-2019",3,"8","MSF",">2 weeks ago",">5 years",0.15,9,0.045,"expert 8 22-11-2019"
"14","BENI",10,12,"11-11-2019",0,"1","LSHTM","<2 weeks ago",">5 years",0,9,0.045,"expert 1 11-11-2019"
"15","BENI",10,12,"15-11-2019",4,"4","WHO","never",">5 years",0.2,9,0.045,"expert 4 15-11-2019"
"16","BENI",10,12,"22-11-2019",0,"9","MSF",">2 weeks ago",">5 years",0,9,0.045,"expert 9 22-11-2019"
"17","BENI",10,12,"20-11-2019",0,"6","MoH","<2 weeks ago",">5 years",0,9,0.045,"expert 6 20-11-2019"
"18","BENI",10,12,"22-11-2019",1,"7","LSHTM","<2 weeks ago","<5 years",0.05,9,0.045,"expert 7 22-11-2019"
"19","BENI",10,12,"14-11-2019",0,"10","WHO","<2 weeks ago","<5 years",0,9,0.045,"expert 10 14-11-2019"
"20","BENI",10,12,"15-11-2019",0,"3","WHO",">2 weeks ago",">5 years",0,9,0.045,"expert 3 15-11-2019"
"21","BENI",12,14,"15-11-2019",4,"4","WHO","never",">5 years",0.2,9,0.045,"expert 4 15-11-2019"
"22","BENI",12,14,"15-11-2019",0,"5","WHO","<2 weeks ago","<5 years",0,9,0.045,"expert 5 15-11-2019"
"23","BENI",12,14,"22-11-2019",1,"7","LSHTM","<2 weeks ago","<5 years",0.05,9,0.045,"expert 7 22-11-2019"
"24","BENI",12,14,"11-11-2019",0,"1","LSHTM","<2 weeks ago",">5 years",0,9,0.045,"expert 1 11-11-2019"
"25","BENI",12,14,"20-11-2019",0,"6","MoH","<2 weeks ago",">5 years",0,9,0.045,"expert 6 20-11-2019"
"26","BENI",12,14,"22-11-2019",0,"9","MSF",">2 weeks ago",">5 years",0,9,0.045,"expert 9 22-11-2019"
"27","BENI",12,14,"14-11-2019",0,"10","WHO","<2 weeks ago","<5 years",0,9,0.045,"expert 10 14-11-2019"
"28","BENI",12,14,"22-11-2019",3,"8","MSF",">2 weeks ago",">5 years",0.15,9,0.045,"expert 8 22-11-2019"
"29","BENI",12,14,"12-11-2019",1,"2","WHO","<2 weeks ago",">5 years",0.05,9,0.045,"expert 2 12-11-2019"
"30","BENI",12,14,"15-11-2019",0,"3","WHO",">2 weeks ago",">5 years",0,9,0.045,"expert 3 15-11-2019"
