"","HZ","low_bin","high_bin","date","chips","expert","institution","last.in.field","experience.ide","p","chips.all.experts","p.all.experts","expert.date"
"1","BENI",0,2,"16-01-2020",0,"12","LSHTM",">2 weeks ago",">5 years",0,12,0.0545454545454545,"expert 12 16-01-2020"
"2","BENI",0,2,"21-01-2020",4,"8","MSF","<2 weeks ago",">5 years",0.2,12,0.0545454545454545,"expert 8 21-01-2020"
"3","BENI",0,2,"22-01-2020",0,"9","MSF",">2 weeks ago",">5 years",0,12,0.0545454545454545,"expert 9 22-01-2020"
"4","BENI",0,2,"17-01-2020",1,"1","LSHTM",">2 weeks ago",">5 years",0.05,12,0.0545454545454545,"expert 1 17-01-2020"
"5","BENI",0,2,"15-01-2020",6,"3","WHO",">2 weeks ago",">5 years",0.3,12,0.0545454545454545,"expert 3 15-01-2020"
"6","BENI",0,2,"24-01-2020",0,"13","WHO","<2 weeks ago",">5 years",0,12,0.0545454545454545,"expert 13 24-01-2020"
"7","BENI",0,2,"17-01-2020",0,"5","WHO",">2 weeks ago","<5 years",0,12,0.0545454545454545,"expert 5 17-01-2020"
"8","BENI",0,2,"17-01-2020",1,"4","WHO","never",">5 years",0.05,12,0.0545454545454545,"expert 4 17-01-2020"
"9","BENI",0,2,"22-01-2020",0,"11","WHO","<2 weeks ago","<5 years",0,12,0.0545454545454545,"expert 11 22-01-2020"
"10","BENI",0,2,"28-01-2020",0,"14","WHO","<2 weeks ago",">5 years",0,12,0.0545454545454545,"expert 14 28-01-2020"
"11","BENI",0,2,"16-01-2020",0,"2","WHO","<2 weeks ago",">5 years",0,12,0.0545454545454545,"expert 2 16-01-2020"
"12","BENI",10,12,"17-01-2020",8,"5","WHO",">2 weeks ago","<5 years",0.4,28,0.127272727272727,"expert 5 17-01-2020"
"13","BENI",10,12,"17-01-2020",3,"1","LSHTM",">2 weeks ago",">5 years",0.15,28,0.127272727272727,"expert 1 17-01-2020"
"14","BENI",10,12,"17-01-2020",4,"4","WHO","never",">5 years",0.2,28,0.127272727272727,"expert 4 17-01-2020"
"15","BENI",10,12,"16-01-2020",4,"12","LSHTM",">2 weeks ago",">5 years",0.2,28,0.127272727272727,"expert 12 16-01-2020"
"16","BENI",10,12,"22-01-2020",0,"9","MSF",">2 weeks ago",">5 years",0,28,0.127272727272727,"expert 9 22-01-2020"
"17","BENI",10,12,"15-01-2020",0,"3","WHO",">2 weeks ago",">5 years",0,28,0.127272727272727,"expert 3 15-01-2020"
"18","BENI",10,12,"21-01-2020",1,"8","MSF","<2 weeks ago",">5 years",0.05,28,0.127272727272727,"expert 8 21-01-2020"
"19","BENI",10,12,"24-01-2020",0,"13","WHO","<2 weeks ago",">5 years",0,28,0.127272727272727,"expert 13 24-01-2020"
"20","BENI",10,12,"16-01-2020",0,"2","WHO","<2 weeks ago",">5 years",0,28,0.127272727272727,"expert 2 16-01-2020"
"21","BENI",10,12,"28-01-2020",7,"14","WHO","<2 weeks ago",">5 years",0.35,28,0.127272727272727,"expert 14 28-01-2020"
"22","BENI",10,12,"22-01-2020",1,"11","WHO","<2 weeks ago","<5 years",0.05,28,0.127272727272727,"expert 11 22-01-2020"
