"","HZ","low_bin","high_bin","date","chips","expert","institution","last.in.field","experience.ide","p","chips.all.experts","p.all.experts","expert.date","forecast.month"
"1","BENI",0,2,"25-10-2019",1,"12","LSHTM","<2 weeks ago",">5 years",0.05,8,0.133333333333333,"expert 12 25-10-2019","November 2019"
"2","BENI",0,2,"25-10-2019",4,"15","LSHTM","<2 weeks ago","<5 years",0.2,8,0.133333333333333,"expert 15 25-10-2019","November 2019"
"3","BENI",0,2,"25-10-2019",3,"7","LSHTM","<2 weeks ago","<5 years",0.15,8,0.133333333333333,"expert 7 25-10-2019","November 2019"
"4","BENI",10,12,"25-10-2019",1,"12","LSHTM","<2 weeks ago",">5 years",0.05,3,0.05,"expert 12 25-10-2019","November 2019"
"5","BENI",10,12,"25-10-2019",1,"15","LSHTM","<2 weeks ago","<5 years",0.05,3,0.05,"expert 15 25-10-2019","November 2019"
"6","BENI",10,12,"25-10-2019",1,"7","LSHTM","<2 weeks ago","<5 years",0.05,3,0.05,"expert 7 25-10-2019","November 2019"
"7","BENI",12,14,"25-10-2019",1,"12","LSHTM","<2 weeks ago",">5 years",0.05,2,0.0333333333333333,"expert 12 25-10-2019","November 2019"
"8","BENI",12,14,"25-10-2019",0,"15","LSHTM","<2 weeks ago","<5 years",0,2,0.0333333333333333,"expert 15 25-10-2019","November 2019"
"9","BENI",12,14,"25-10-2019",1,"7","LSHTM","<2 weeks ago","<5 years",0.05,2,0.0333333333333333,"expert 7 25-10-2019","November 2019"
"10","BENI",14,16,"25-10-2019",1,"12","LSHTM","<2 weeks ago",">5 years",0.05,2,0.0333333333333333,"expert 12 25-10-2019","November 2019"
"11","BENI",14,16,"25-10-2019",1,"7","LSHTM","<2 weeks ago","<5 years",0.05,2,0.0333333333333333,"expert 7 25-10-2019","November 2019"
"12","BENI",14,16,"25-10-2019",0,"15","LSHTM","<2 weeks ago","<5 years",0,2,0.0333333333333333,"expert 15 25-10-2019","November 2019"
"13","BENI",16,18,"25-10-2019",1,"12","LSHTM","<2 weeks ago",">5 years",0.05,2,0.0333333333333333,"expert 12 25-10-2019","November 2019"
"14","BENI",16,18,"25-10-2019",1,"7","LSHTM","<2 weeks ago","<5 years",0.05,2,0.0333333333333333,"expert 7 25-10-2019","November 2019"
"15","BENI",16,18,"25-10-2019",0,"15","LSHTM","<2 weeks ago","<5 years",0,2,0.0333333333333333,"expert 15 25-10-2019","November 2019"
