"","HZ","low_bin","high_bin","date","chips","expert","institution","last.in.field","experience.ide","p","chips.all.experts","p.all.experts","expert.date"
"1","BENI",0,2,"23-12-2019",2,"9","MSF",">2 weeks ago",">5 years",0.1,22,0.1375,"expert 9 23-12-2019"
"2","BENI",0,2,"17-12-2019",6,"10","WHO","<2 weeks ago","<5 years",0.3,22,0.1375,"expert 10 17-12-2019"
"3","BENI",0,2,"17-12-2019",0,"1","LSHTM",">2 weeks ago",">5 years",0,22,0.1375,"expert 1 17-12-2019"
"4","BENI",0,2,"23-12-2019",1,"11","WHO","<2 weeks ago","<5 years",0.05,22,0.1375,"expert 11 23-12-2019"
"5","BENI",0,2,"18-12-2019",5,"4","WHO","never",">5 years",0.25,22,0.1375,"expert 4 18-12-2019"
"6","BENI",0,2,"19-12-2019",0,"5","WHO",">2 weeks ago","<5 years",0,22,0.1375,"expert 5 19-12-2019"
"7","BENI",0,2,"19-12-2019",0,"2","WHO","<2 weeks ago",">5 years",0,22,0.1375,"expert 2 19-12-2019"
"8","BENI",0,2,"23-12-2019",8,"8","MSF","<2 weeks ago",">5 years",0.4,22,0.1375,"expert 8 23-12-2019"
"9","BENI",10,12,"19-12-2019",3,"5","WHO",">2 weeks ago","<5 years",0.15,11,0.06875,"expert 5 19-12-2019"
"10","BENI",10,12,"23-12-2019",2,"11","WHO","<2 weeks ago","<5 years",0.1,11,0.06875,"expert 11 23-12-2019"
"11","BENI",10,12,"19-12-2019",1,"2","WHO","<2 weeks ago",">5 years",0.05,11,0.06875,"expert 2 19-12-2019"
"12","BENI",10,12,"18-12-2019",0,"4","WHO","never",">5 years",0,11,0.06875,"expert 4 18-12-2019"
"13","BENI",10,12,"17-12-2019",0,"10","WHO","<2 weeks ago","<5 years",0,11,0.06875,"expert 10 17-12-2019"
"14","BENI",10,12,"17-12-2019",4,"1","LSHTM",">2 weeks ago",">5 years",0.2,11,0.06875,"expert 1 17-12-2019"
"15","BENI",10,12,"23-12-2019",0,"9","MSF",">2 weeks ago",">5 years",0,11,0.06875,"expert 9 23-12-2019"
"16","BENI",10,12,"23-12-2019",1,"8","MSF","<2 weeks ago",">5 years",0.05,11,0.06875,"expert 8 23-12-2019"
"17","BENI",12,14,"19-12-2019",1,"5","WHO",">2 weeks ago","<5 years",0.05,6,0.0375,"expert 5 19-12-2019"
"18","BENI",12,14,"18-12-2019",0,"4","WHO","never",">5 years",0,6,0.0375,"expert 4 18-12-2019"
"19","BENI",12,14,"19-12-2019",0,"2","WHO","<2 weeks ago",">5 years",0,6,0.0375,"expert 2 19-12-2019"
"20","BENI",12,14,"17-12-2019",4,"1","LSHTM",">2 weeks ago",">5 years",0.2,6,0.0375,"expert 1 17-12-2019"
"21","BENI",12,14,"23-12-2019",1,"11","WHO","<2 weeks ago","<5 years",0.05,6,0.0375,"expert 11 23-12-2019"
"22","BENI",12,14,"17-12-2019",0,"10","WHO","<2 weeks ago","<5 years",0,6,0.0375,"expert 10 17-12-2019"
"23","BENI",12,14,"23-12-2019",0,"8","MSF","<2 weeks ago",">5 years",0,6,0.0375,"expert 8 23-12-2019"
"24","BENI",12,14,"23-12-2019",0,"9","MSF",">2 weeks ago",">5 years",0,6,0.0375,"expert 9 23-12-2019"
"25","BENI",14,16,"19-12-2019",0,"2","WHO","<2 weeks ago",">5 years",0,3,0.01875,"expert 2 19-12-2019"
"26","BENI",14,16,"18-12-2019",0,"4","WHO","never",">5 years",0,3,0.01875,"expert 4 18-12-2019"
"27","BENI",14,16,"17-12-2019",0,"10","WHO","<2 weeks ago","<5 years",0,3,0.01875,"expert 10 17-12-2019"
"28","BENI",14,16,"17-12-2019",3,"1","LSHTM",">2 weeks ago",">5 years",0.15,3,0.01875,"expert 1 17-12-2019"
"29","BENI",14,16,"23-12-2019",0,"11","WHO","<2 weeks ago","<5 years",0,3,0.01875,"expert 11 23-12-2019"
"30","BENI",14,16,"23-12-2019",0,"9","MSF",">2 weeks ago",">5 years",0,3,0.01875,"expert 9 23-12-2019"
"31","BENI",14,16,"19-12-2019",0,"5","WHO",">2 weeks ago","<5 years",0,3,0.01875,"expert 5 19-12-2019"
"32","BENI",14,16,"23-12-2019",0,"8","MSF","<2 weeks ago",">5 years",0,3,0.01875,"expert 8 23-12-2019"
"33","BENI",16,18,"17-12-2019",0,"10","WHO","<2 weeks ago","<5 years",0,2,0.0125,"expert 10 17-12-2019"
"34","BENI",16,18,"23-12-2019",0,"9","MSF",">2 weeks ago",">5 years",0,2,0.0125,"expert 9 23-12-2019"
"35","BENI",16,18,"19-12-2019",0,"5","WHO",">2 weeks ago","<5 years",0,2,0.0125,"expert 5 19-12-2019"
"36","BENI",16,18,"23-12-2019",0,"11","WHO","<2 weeks ago","<5 years",0,2,0.0125,"expert 11 23-12-2019"
"37","BENI",16,18,"19-12-2019",0,"2","WHO","<2 weeks ago",">5 years",0,2,0.0125,"expert 2 19-12-2019"
"38","BENI",16,18,"18-12-2019",0,"4","WHO","never",">5 years",0,2,0.0125,"expert 4 18-12-2019"
"39","BENI",16,18,"17-12-2019",2,"1","LSHTM",">2 weeks ago",">5 years",0.1,2,0.0125,"expert 1 17-12-2019"
"40","BENI",16,18,"23-12-2019",0,"8","MSF","<2 weeks ago",">5 years",0,2,0.0125,"expert 8 23-12-2019"
"41","BENI",18,20,"23-12-2019",0,"9","MSF",">2 weeks ago",">5 years",0,1,0.00625,"expert 9 23-12-2019"
"42","BENI",18,20,"17-12-2019",0,"10","WHO","<2 weeks ago","<5 years",0,1,0.00625,"expert 10 17-12-2019"
"43","BENI",18,20,"18-12-2019",0,"4","WHO","never",">5 years",0,1,0.00625,"expert 4 18-12-2019"
"44","BENI",18,20,"17-12-2019",1,"1","LSHTM",">2 weeks ago",">5 years",0.05,1,0.00625,"expert 1 17-12-2019"
"45","BENI",18,20,"23-12-2019",0,"11","WHO","<2 weeks ago","<5 years",0,1,0.00625,"expert 11 23-12-2019"
"46","BENI",18,20,"19-12-2019",0,"2","WHO","<2 weeks ago",">5 years",0,1,0.00625,"expert 2 19-12-2019"
"47","BENI",18,20,"19-12-2019",0,"5","WHO",">2 weeks ago","<5 years",0,1,0.00625,"expert 5 19-12-2019"
"48","BENI",18,20,"23-12-2019",0,"8","MSF","<2 weeks ago",">5 years",0,1,0.00625,"expert 8 23-12-2019"
"49","BENI",2,4,"19-12-2019",0,"5","WHO",">2 weeks ago","<5 years",0,25,0.15625,"expert 5 19-12-2019"
"50","BENI",2,4,"23-12-2019",4,"9","MSF",">2 weeks ago",">5 years",0.2,25,0.15625,"expert 9 23-12-2019"
"51","BENI",2,4,"23-12-2019",5,"8","MSF","<2 weeks ago",">5 years",0.25,25,0.15625,"expert 8 23-12-2019"
