"","expert","HZ","low_bin","high_bin","chips","p","date","institution","last.in.field","experience.ide","expert.date"
"1","11","OICHA",4,6,8,0.4,"22-01-2020","WHO","<2 weeks ago","<5 years","expert 11 22-01-2020"
"2","11","OICHA",6,8,1,0.05,"22-01-2020","WHO","<2 weeks ago","<5 years","expert 11 22-01-2020"
"3","11","OICHA",8,10,0,0,"22-01-2020","WHO","<2 weeks ago","<5 years","expert 11 22-01-2020"
"4","11","OICHA",10,12,0,0,"22-01-2020","WHO","<2 weeks ago","<5 years","expert 11 22-01-2020"
"5","11","OICHA",12,14,0,0,"22-01-2020","WHO","<2 weeks ago","<5 years","expert 11 22-01-2020"
"6","11","OICHA",22,24,0,0,"22-01-2020","WHO","<2 weeks ago","<5 years","expert 11 22-01-2020"
"7","11","OICHA",24,26,0,0,"22-01-2020","WHO","<2 weeks ago","<5 years","expert 11 22-01-2020"
"8","11","OICHA",0,2,1,0.05,"22-01-2020","WHO","<2 weeks ago","<5 years","expert 11 22-01-2020"
"9","11","OICHA",2,4,10,0.5,"22-01-2020","WHO","<2 weeks ago","<5 years","expert 11 22-01-2020"
"10","11","OICHA",30,32,0,0,"22-01-2020","WHO","<2 weeks ago","<5 years","expert 11 22-01-2020"
"11","11","OICHA",32,34,0,0,"22-01-2020","WHO","<2 weeks ago","<5 years","expert 11 22-01-2020"
"12","11","OICHA",34,36,0,0,"22-01-2020","WHO","<2 weeks ago","<5 years","expert 11 22-01-2020"
"13","11","OICHA",36,38,0,0,"22-01-2020","WHO","<2 weeks ago","<5 years","expert 11 22-01-2020"
"14","11","OICHA",38,40,0,0,"22-01-2020","WHO","<2 weeks ago","<5 years","expert 11 22-01-2020"
"15","11","OICHA",14,16,0,0,"22-01-2020","WHO","<2 weeks ago","<5 years","expert 11 22-01-2020"
"16","11","OICHA",16,18,0,0,"22-01-2020","WHO","<2 weeks ago","<5 years","expert 11 22-01-2020"
"17","11","OICHA",18,20,0,0,"22-01-2020","WHO","<2 weeks ago","<5 years","expert 11 22-01-2020"
"18","11","OICHA",20,22,0,0,"22-01-2020","WHO","<2 weeks ago","<5 years","expert 11 22-01-2020"
"19","11","OICHA",48,50,0,0,"22-01-2020","WHO","<2 weeks ago","<5 years","expert 11 22-01-2020"
"20","11","OICHA",40,42,0,0,"22-01-2020","WHO","<2 weeks ago","<5 years","expert 11 22-01-2020"
"21","11","OICHA",26,28,0,0,"22-01-2020","WHO","<2 weeks ago","<5 years","expert 11 22-01-2020"
"22","11","OICHA",28,30,0,0,"22-01-2020","WHO","<2 weeks ago","<5 years","expert 11 22-01-2020"
"23","11","OICHA",46,48,0,0,"22-01-2020","WHO","<2 weeks ago","<5 years","expert 11 22-01-2020"
"24","11","OICHA",42,44,0,0,"22-01-2020","WHO","<2 weeks ago","<5 years","expert 11 22-01-2020"
"25","11","OICHA",44,46,0,0,"22-01-2020","WHO","<2 weeks ago","<5 years","expert 11 22-01-2020"
"26","12","OICHA",2,4,8,0.4,"16-01-2020","LSHTM",">2 weeks ago",">5 years","expert 12 16-01-2020"
"27","12","OICHA",10,12,0,0,"16-01-2020","LSHTM",">2 weeks ago",">5 years","expert 12 16-01-2020"
"28","12","OICHA",12,14,0,0,"16-01-2020","LSHTM",">2 weeks ago",">5 years","expert 12 16-01-2020"
"29","12","OICHA",14,16,0,0,"16-01-2020","LSHTM",">2 weeks ago",">5 years","expert 12 16-01-2020"
"30","12","OICHA",16,18,0,0,"16-01-2020","LSHTM",">2 weeks ago",">5 years","expert 12 16-01-2020"
"31","12","OICHA",18,20,0,0,"16-01-2020","LSHTM",">2 weeks ago",">5 years","expert 12 16-01-2020"
"32","12","OICHA",0,2,11,0.55,"16-01-2020","LSHTM",">2 weeks ago",">5 years","expert 12 16-01-2020"
"33","12","OICHA",28,30,0,0,"16-01-2020","LSHTM",">2 weeks ago",">5 years","expert 12 16-01-2020"
"34","12","OICHA",4,6,1,0.05,"16-01-2020","LSHTM",">2 weeks ago",">5 years","expert 12 16-01-2020"
"35","12","OICHA",6,8,0,0,"16-01-2020","LSHTM",">2 weeks ago",">5 years","expert 12 16-01-2020"
"36","12","OICHA",8,10,0,0,"16-01-2020","LSHTM",">2 weeks ago",">5 years","expert 12 16-01-2020"
"37","12","OICHA",34,36,0,0,"16-01-2020","LSHTM",">2 weeks ago",">5 years","expert 12 16-01-2020"
"38","12","OICHA",36,38,0,0,"16-01-2020","LSHTM",">2 weeks ago",">5 years","expert 12 16-01-2020"
"39","12","OICHA",38,40,0,0,"16-01-2020","LSHTM",">2 weeks ago",">5 years","expert 12 16-01-2020"
"40","12","OICHA",40,42,0,0,"16-01-2020","LSHTM",">2 weeks ago",">5 years","expert 12 16-01-2020"
"41","12","OICHA",42,44,0,0,"16-01-2020","LSHTM",">2 weeks ago",">5 years","expert 12 16-01-2020"
"42","12","OICHA",20,22,0,0,"16-01-2020","LSHTM",">2 weeks ago",">5 years","expert 12 16-01-2020"
"43","12","OICHA",22,24,0,0,"16-01-2020","LSHTM",">2 weeks ago",">5 years","expert 12 16-01-2020"
"44","12","OICHA",24,26,0,0,"16-01-2020","LSHTM",">2 weeks ago",">5 years","expert 12 16-01-2020"
"45","12","OICHA",26,28,0,0,"16-01-2020","LSHTM",">2 weeks ago",">5 years","expert 12 16-01-2020"
