"","expert","HZ","low_bin","high_bin","chips","p","date","institution","last.in.field","experience.ide","expert.date","forecast.month"
"1","1","OICHA",0,2,4,0.2,"11-11-2019","LSHTM","<2 weeks ago",">5 years","expert 1 11-11-2019","December 2019"
"2","1","OICHA",2,4,4,0.2,"11-11-2019","LSHTM","<2 weeks ago",">5 years","expert 1 11-11-2019","December 2019"
"3","1","OICHA",4,6,4,0.2,"11-11-2019","LSHTM","<2 weeks ago",">5 years","expert 1 11-11-2019","December 2019"
"4","1","OICHA",6,8,4,0.2,"11-11-2019","LSHTM","<2 weeks ago",">5 years","expert 1 11-11-2019","December 2019"
"5","1","OICHA",8,10,4,0.2,"11-11-2019","LSHTM","<2 weeks ago",">5 years","expert 1 11-11-2019","December 2019"
"6","1","OICHA",10,12,0,0,"11-11-2019","LSHTM","<2 weeks ago",">5 years","expert 1 11-11-2019","December 2019"
"7","1","OICHA",12,14,0,0,"11-11-2019","LSHTM","<2 weeks ago",">5 years","expert 1 11-11-2019","December 2019"
"8","1","OICHA",14,16,0,0,"11-11-2019","LSHTM","<2 weeks ago",">5 years","expert 1 11-11-2019","December 2019"
"9","1","OICHA",16,18,0,0,"11-11-2019","LSHTM","<2 weeks ago",">5 years","expert 1 11-11-2019","December 2019"
"10","1","OICHA",18,20,0,0,"11-11-2019","LSHTM","<2 weeks ago",">5 years","expert 1 11-11-2019","December 2019"
"11","1","OICHA",20,22,0,0,"11-11-2019","LSHTM","<2 weeks ago",">5 years","expert 1 11-11-2019","December 2019"
"12","1","OICHA",22,24,0,0,"11-11-2019","LSHTM","<2 weeks ago",">5 years","expert 1 11-11-2019","December 2019"
"13","1","OICHA",24,26,0,0,"11-11-2019","LSHTM","<2 weeks ago",">5 years","expert 1 11-11-2019","December 2019"
"14","1","OICHA",26,28,0,0,"11-11-2019","LSHTM","<2 weeks ago",">5 years","expert 1 11-11-2019","December 2019"
"15","1","OICHA",28,30,0,0,"11-11-2019","LSHTM","<2 weeks ago",">5 years","expert 1 11-11-2019","December 2019"
"16","1","OICHA",30,32,0,0,"11-11-2019","LSHTM","<2 weeks ago",">5 years","expert 1 11-11-2019","December 2019"
"17","1","OICHA",32,34,0,0,"11-11-2019","LSHTM","<2 weeks ago",">5 years","expert 1 11-11-2019","December 2019"
"18","1","OICHA",34,36,0,0,"11-11-2019","LSHTM","<2 weeks ago",">5 years","expert 1 11-11-2019","December 2019"
"19","1","OICHA",36,38,0,0,"11-11-2019","LSHTM","<2 weeks ago",">5 years","expert 1 11-11-2019","December 2019"
"20","1","OICHA",38,40,0,0,"11-11-2019","LSHTM","<2 weeks ago",">5 years","expert 1 11-11-2019","December 2019"
"21","1","OICHA",40,42,0,0,"11-11-2019","LSHTM","<2 weeks ago",">5 years","expert 1 11-11-2019","December 2019"
"22","1","OICHA",42,44,0,0,"11-11-2019","LSHTM","<2 weeks ago",">5 years","expert 1 11-11-2019","December 2019"
"23","1","OICHA",44,46,0,0,"11-11-2019","LSHTM","<2 weeks ago",">5 years","expert 1 11-11-2019","December 2019"
"24","1","OICHA",46,48,0,0,"11-11-2019","LSHTM","<2 weeks ago",">5 years","expert 1 11-11-2019","December 2019"
"25","1","OICHA",48,50,0,0,"11-11-2019","LSHTM","<2 weeks ago",">5 years","expert 1 11-11-2019","December 2019"
"26","1","KOMANDA",22,24,0,0,"11-11-2019","LSHTM","<2 weeks ago",">5 years","expert 1 11-11-2019","December 2019"
"27","1","KOMANDA",24,26,0,0,"11-11-2019","LSHTM","<2 weeks ago",">5 years","expert 1 11-11-2019","December 2019"
"28","1","KOMANDA",26,28,0,0,"11-11-2019","LSHTM","<2 weeks ago",">5 years","expert 1 11-11-2019","December 2019"
"29","1","KOMANDA",28,30,0,0,"11-11-2019","LSHTM","<2 weeks ago",">5 years","expert 1 11-11-2019","December 2019"
"30","1","KOMANDA",30,32,0,0,"11-11-2019","LSHTM","<2 weeks ago",">5 years","expert 1 11-11-2019","December 2019"
"31","1","KOMANDA",32,34,0,0,"11-11-2019","LSHTM","<2 weeks ago",">5 years","expert 1 11-11-2019","December 2019"
"32","1","KOMANDA",34,36,0,0,"11-11-2019","LSHTM","<2 weeks ago",">5 years","expert 1 11-11-2019","December 2019"
"33","1","KOMANDA",36,38,0,0,"11-11-2019","LSHTM","<2 weeks ago",">5 years","expert 1 11-11-2019","December 2019"
"34","1","KOMANDA",38,40,0,0,"11-11-2019","LSHTM","<2 weeks ago",">5 years","expert 1 11-11-2019","December 2019"
"35","1","KOMANDA",40,42,0,0,"11-11-2019","LSHTM","<2 weeks ago",">5 years","expert 1 11-11-2019","December 2019"
"36","1","KOMANDA",42,44,0,0,"11-11-2019","LSHTM","<2 weeks ago",">5 years","expert 1 11-11-2019","December 2019"
"37","1","KOMANDA",44,46,0,0,"11-11-2019","LSHTM","<2 weeks ago",">5 years","expert 1 11-11-2019","December 2019"
"38","1","KOMANDA",46,48,0,0,"11-11-2019","LSHTM","<2 weeks ago",">5 years","expert 1 11-11-2019","December 2019"
"39","1","KOMANDA",48,50,0,0,"11-11-2019","LSHTM","<2 weeks ago",">5 years","expert 1 11-11-2019","December 2019"
"40","1","KOMANDA",4,6,4,0.2,"11-11-2019","LSHTM","<2 weeks ago",">5 years","expert 1 11-11-2019","December 2019"
"41","1","KOMANDA",6,8,4,0.2,"11-11-2019","LSHTM","<2 weeks ago",">5 years","expert 1 11-11-2019","December 2019"
"42","1","KOMANDA",0,2,4,0.2,"11-11-2019","LSHTM","<2 weeks ago",">5 years","expert 1 11-11-2019","December 2019"
"43","1","KOMANDA",2,4,4,0.2,"11-11-2019","LSHTM","<2 weeks ago",">5 years","expert 1 11-11-2019","December 2019"
"44","1","KOMANDA",12,14,0,0,"11-11-2019","LSHTM","<2 weeks ago",">5 years","expert 1 11-11-2019","December 2019"
"45","1","KOMANDA",14,16,0,0,"11-11-2019","LSHTM","<2 weeks ago",">5 years","expert 1 11-11-2019","December 2019"
"46","1","KOMANDA",8,10,4,0.2,"11-11-2019","LSHTM","<2 weeks ago",">5 years","expert 1 11-11-2019","December 2019"
"47","1","KOMANDA",10,12,0,0,"11-11-2019","LSHTM","<2 weeks ago",">5 years","expert 1 11-11-2019","December 2019"
"48","1","KOMANDA",20,22,0,0,"11-11-2019","LSHTM","<2 weeks ago",">5 years","expert 1 11-11-2019","December 2019"
"49","1","KOMANDA",16,18,0,0,"11-11-2019","LSHTM","<2 weeks ago",">5 years","expert 1 11-11-2019","December 2019"
"50","1","KOMANDA",18,20,0,0,"11-11-2019","LSHTM","<2 weeks ago",">5 years","expert 1 11-11-2019","December 2019"
"51","10","OICHA",38,40,0,0,"14-11-2019","WHO","<2 weeks ago","<5 years","expert 10 14-11-2019","December 2019"
