"","expert","HZ","low_bin","high_bin","chips","p","date","institution","last.in.field","experience.ide","expert.date"
"1","1","OICHA",0,2,4,0.2,"11-11-2019","LSHTM","<2 weeks ago",">5 years","expert 1 11-11-2019"
"2","1","OICHA",2,4,4,0.2,"11-11-2019","LSHTM","<2 weeks ago",">5 years","expert 1 11-11-2019"
"3","1","OICHA",4,6,4,0.2,"11-11-2019","LSHTM","<2 weeks ago",">5 years","expert 1 11-11-2019"
"4","1","OICHA",6,8,4,0.2,"11-11-2019","LSHTM","<2 weeks ago",">5 years","expert 1 11-11-2019"
"5","1","OICHA",8,10,4,0.2,"11-11-2019","LSHTM","<2 weeks ago",">5 years","expert 1 11-11-2019"
"6","1","OICHA",10,12,0,0,"11-11-2019","LSHTM","<2 weeks ago",">5 years","expert 1 11-11-2019"
"7","1","OICHA",12,14,0,0,"11-11-2019","LSHTM","<2 weeks ago",">5 years","expert 1 11-11-2019"
"8","1","OICHA",14,16,0,0,"11-11-2019","LSHTM","<2 weeks ago",">5 years","expert 1 11-11-2019"
"9","1","OICHA",16,18,0,0,"11-11-2019","LSHTM","<2 weeks ago",">5 years","expert 1 11-11-2019"
"10","1","OICHA",18,20,0,0,"11-11-2019","LSHTM","<2 weeks ago",">5 years","expert 1 11-11-2019"
"11","1","OICHA",20,22,0,0,"11-11-2019","LSHTM","<2 weeks ago",">5 years","expert 1 11-11-2019"
"12","1","OICHA",22,24,0,0,"11-11-2019","LSHTM","<2 weeks ago",">5 years","expert 1 11-11-2019"
"13","1","OICHA",24,26,0,0,"11-11-2019","LSHTM","<2 weeks ago",">5 years","expert 1 11-11-2019"
"14","1","OICHA",26,28,0,0,"11-11-2019","LSHTM","<2 weeks ago",">5 years","expert 1 11-11-2019"
"15","1","OICHA",28,30,0,0,"11-11-2019","LSHTM","<2 weeks ago",">5 years","expert 1 11-11-2019"
"16","1","OICHA",30,32,0,0,"11-11-2019","LSHTM","<2 weeks ago",">5 years","expert 1 11-11-2019"
"17","1","OICHA",32,34,0,0,"11-11-2019","LSHTM","<2 weeks ago",">5 years","expert 1 11-11-2019"
"18","1","OICHA",34,36,0,0,"11-11-2019","LSHTM","<2 weeks ago",">5 years","expert 1 11-11-2019"
"19","1","OICHA",36,38,0,0,"11-11-2019","LSHTM","<2 weeks ago",">5 years","expert 1 11-11-2019"
"20","1","OICHA",38,40,0,0,"11-11-2019","LSHTM","<2 weeks ago",">5 years","expert 1 11-11-2019"
"21","1","OICHA",40,42,0,0,"11-11-2019","LSHTM","<2 weeks ago",">5 years","expert 1 11-11-2019"
"22","1","OICHA",42,44,0,0,"11-11-2019","LSHTM","<2 weeks ago",">5 years","expert 1 11-11-2019"
"23","1","OICHA",44,46,0,0,"11-11-2019","LSHTM","<2 weeks ago",">5 years","expert 1 11-11-2019"
"24","1","OICHA",46,48,0,0,"11-11-2019","LSHTM","<2 weeks ago",">5 years","expert 1 11-11-2019"
"25","1","OICHA",48,50,0,0,"11-11-2019","LSHTM","<2 weeks ago",">5 years","expert 1 11-11-2019"
"26","1","KOMANDA",22,24,0,0,"11-11-2019","LSHTM","<2 weeks ago",">5 years","expert 1 11-11-2019"
"27","1","KOMANDA",24,26,0,0,"11-11-2019","LSHTM","<2 weeks ago",">5 years","expert 1 11-11-2019"
"28","1","KOMANDA",26,28,0,0,"11-11-2019","LSHTM","<2 weeks ago",">5 years","expert 1 11-11-2019"
"29","1","KOMANDA",28,30,0,0,"11-11-2019","LSHTM","<2 weeks ago",">5 years","expert 1 11-11-2019"
