"","expert","HZ","low_bin","high_bin","chips","p","date","institution","last.in.field","experience.ide","expert.date"
"1","11","MABALAKO",0,2,17,0.85,"25-02-2020","WHO","<2 weeks ago","<5 years","expert 11 25-02-2020"
"2","11","MABALAKO",2,4,3,0.15,"25-02-2020","WHO","<2 weeks ago","<5 years","expert 11 25-02-2020"
"3","11","MABALAKO",4,6,0,0,"25-02-2020","WHO","<2 weeks ago","<5 years","expert 11 25-02-2020"
"4","11","MABALAKO",6,8,0,0,"25-02-2020","WHO","<2 weeks ago","<5 years","expert 11 25-02-2020"
"5","11","MABALAKO",8,10,0,0,"25-02-2020","WHO","<2 weeks ago","<5 years","expert 11 25-02-2020"
"6","11","MABALAKO",10,12,0,0,"25-02-2020","WHO","<2 weeks ago","<5 years","expert 11 25-02-2020"
"7","11","MABALAKO",12,14,0,0,"25-02-2020","WHO","<2 weeks ago","<5 years","expert 11 25-02-2020"
"8","11","MABALAKO",14,16,0,0,"25-02-2020","WHO","<2 weeks ago","<5 years","expert 11 25-02-2020"
"9","11","MABALAKO",16,18,0,0,"25-02-2020","WHO","<2 weeks ago","<5 years","expert 11 25-02-2020"
"10","11","MABALAKO",18,20,0,0,"25-02-2020","WHO","<2 weeks ago","<5 years","expert 11 25-02-2020"
"11","11","MABALAKO",20,22,0,0,"25-02-2020","WHO","<2 weeks ago","<5 years","expert 11 25-02-2020"
"12","11","MABALAKO",22,24,0,0,"25-02-2020","WHO","<2 weeks ago","<5 years","expert 11 25-02-2020"
"13","11","MABALAKO",24,26,0,0,"25-02-2020","WHO","<2 weeks ago","<5 years","expert 11 25-02-2020"
"14","11","MABALAKO",26,28,0,0,"25-02-2020","WHO","<2 weeks ago","<5 years","expert 11 25-02-2020"
"15","11","MABALAKO",28,30,0,0,"25-02-2020","WHO","<2 weeks ago","<5 years","expert 11 25-02-2020"
"16","11","MABALAKO",30,32,0,0,"25-02-2020","WHO","<2 weeks ago","<5 years","expert 11 25-02-2020"
"17","11","MABALAKO",32,34,0,0,"25-02-2020","WHO","<2 weeks ago","<5 years","expert 11 25-02-2020"
"18","11","MABALAKO",34,36,0,0,"25-02-2020","WHO","<2 weeks ago","<5 years","expert 11 25-02-2020"
"19","11","MABALAKO",36,38,0,0,"25-02-2020","WHO","<2 weeks ago","<5 years","expert 11 25-02-2020"
"20","11","MABALAKO",38,40,0,0,"25-02-2020","WHO","<2 weeks ago","<5 years","expert 11 25-02-2020"
"21","11","MABALAKO",40,42,0,0,"25-02-2020","WHO","<2 weeks ago","<5 years","expert 11 25-02-2020"
"22","11","MABALAKO",42,44,0,0,"25-02-2020","WHO","<2 weeks ago","<5 years","expert 11 25-02-2020"
"23","11","MABALAKO",44,46,0,0,"25-02-2020","WHO","<2 weeks ago","<5 years","expert 11 25-02-2020"
